time,open,high,low,close,tick_volume,spread,real_volume
2025-02-13 08:55:00,2915.86,2916.24,2914.5,2916.0,726,7,0
2025-02-13 09:00:00,2916.0,2916.43,2914.33,2915.85,602,7,0
2025-02-13 09:05:00,2915.85,2916.41,2914.49,2916.34,488,7,0
2025-02-13 09:10:00,2916.34,2917.55,2916.06,2916.57,552,7,0
2025-02-13 09:15:00,2916.57,2916.82,2915.67,2916.07,390,7,0
2025-02-13 09:20:00,2916.07,2917.45,2914.54,2917.16,1005,7,0
2025-02-13 09:25:00,2917.16,2917.91,2915.96,2916.27,860,7,0
2025-02-13 09:30:00,2916.27,2920.72,2916.27,2917.7,1143,7,0
2025-02-13 09:35:00,2917.69,2917.92,2914.82,2915.87,1289,7,0
2025-02-13 09:40:00,2915.58,2915.71,2913.18,2915.6,1267,7,0
2025-02-13 09:45:00,2915.61,2918.63,2915.4,2918.27,965,7,0
2025-02-13 09:50:00,2918.27,2918.49,2916.94,2917.78,824,7,0
2025-02-13 09:55:00,2917.78,2918.05,2914.45,2914.55,913,7,0
2025-02-13 10:00:00,2914.55,2918.05,2914.05,2916.05,1008,7,0
2025-02-13 10:05:00,2916.03,2916.47,2913.7,2913.91,1218,7,0
2025-02-13 10:10:00,2913.91,2915.8,2910.79,2910.84,1070,7,0
2025-02-13 10:15:00,2910.82,2914.77,2910.64,2914.27,1245,7,0
2025-02-13 10:20:00,2914.27,2915.43,2913.5,2915.0,1193,7,0
2025-02-13 10:25:00,2915.0,2915.14,2911.18,2912.29,1167,7,0
2025-02-13 10:30:00,2912.29,2914.0,2911.7,2912.63,778,7,0
2025-02-13 10:35:00,2912.63,2912.76,2911.44,2911.46,742,7,0
2025-02-13 10:40:00,2911.46,2911.96,2909.49,2911.8,970,7,0
2025-02-13 10:45:00,2911.8,2913.61,2911.12,2912.41,821,7,0
2025-02-13 10:50:00,2912.41,2912.93,2910.88,2910.92,532,7,0
2025-02-13 10:55:00,2910.92,2912.23,2910.61,2911.68,649,7,0
2025-02-13 11:00:00,2911.68,2912.48,2910.89,2910.91,734,7,0
2025-02-13 11:05:00,2910.91,2913.15,2909.9,2912.92,913,7,0
2025-02-13 11:10:00,2912.92,2913.99,2912.41,2912.73,683,7,0
2025-02-13 11:15:00,2912.73,2914.59,2912.36,2913.84,583,7,0
2025-02-13 11:20:00,2913.83,2914.31,2912.92,2913.05,583,7,0
2025-02-13 11:25:00,2913.05,2914.51,2912.41,2913.79,776,7,0
2025-02-13 11:30:00,2913.79,2914.12,2912.91,2913.62,591,7,0
2025-02-13 11:35:00,2913.62,2915.09,2913.48,2914.55,500,7,0
2025-02-13 11:40:00,2914.55,2914.96,2913.59,2914.18,421,7,0
2025-02-13 11:45:00,2914.19,2918.33,2914.19,2917.42,740,7,0
2025-02-13 11:50:00,2917.42,2917.42,2914.68,2914.92,1142,7,0
2025-02-13 11:55:00,2914.92,2916.26,2914.28,2915.28,633,7,0
2025-02-13 12:00:00,2915.28,2916.92,2913.91,2916.86,793,7,0
2025-02-13 12:05:00,2916.95,2917.51,2915.38,2917.35,405,7,0
2025-02-13 12:10:00,2917.37,2917.97,2916.23,2917.05,391,7,0
2025-02-13 12:15:00,2917.05,2917.33,2916.0,2917.28,459,7,0
2025-02-13 12:20:00,2917.28,2918.17,2916.85,2917.08,369,7,0
2025-02-13 12:25:00,2917.08,2917.12,2915.38,2915.93,462,7,0
2025-02-13 12:30:00,2915.93,2917.27,2915.4,2916.62,515,7,0
2025-02-13 12:35:00,2916.62,2918.06,2915.58,2916.48,567,7,0
2025-02-13 12:40:00,2916.47,2918.3,2915.68,2918.2,650,7,0
2025-02-13 12:45:00,2918.2,2919.42,2918.13,2919.03,317,7,0
2025-02-13 12:50:00,2919.03,2919.37,2917.76,2918.06,532,7,0
2025-02-13 12:55:00,2918.08,2918.49,2917.07,2917.95,534,7,0
2025-02-13 13:00:00,2917.95,2917.96,2916.81,2917.18,509,7,0
2025-02-13 13:05:00,2917.18,2917.44,2916.52,2916.72,382,7,0
2025-02-13 13:10:00,2916.72,2918.21,2916.72,2917.56,523,7,0
2025-02-13 13:15:00,2917.57,2917.62,2916.46,2916.97,433,7,0
2025-02-13 13:20:00,2916.97,2918.43,2916.25,2916.55,574,7,0
2025-02-13 13:25:00,2916.55,2917.12,2915.8,2916.8,413,7,0
2025-02-13 13:30:00,2916.8,2917.94,2916.36,2917.51,562,7,0
2025-02-13 13:35:00,2917.51,2918.19,2916.91,2917.11,572,7,0
2025-02-13 13:40:00,2917.11,2918.06,2916.44,2917.83,589,7,0
2025-02-13 13:45:00,2917.83,2918.2,2915.48,2916.98,1379,7,0
2025-02-13 13:50:00,2916.98,2917.15,2915.92,2916.62,1037,7,0
2025-02-13 13:55:00,2916.62,2917.99,2916.11,2917.98,1039,7,0
2025-02-13 14:00:00,2917.99,2919.14,2915.67,2918.34,944,7,0
2025-02-13 14:05:00,2918.34,2919.35,2917.88,2918.78,659,7,0
2025-02-13 14:10:00,2918.78,2920.4,2918.78,2919.49,670,7,0
2025-02-13 14:15:00,2919.49,2919.67,2917.99,2918.25,417,7,0
2025-02-13 14:20:00,2918.25,2919.64,2918.09,2918.55,481,7,0
2025-02-13 14:25:00,2918.55,2918.73,2917.23,2917.92,516,7,0
2025-02-13 14:30:00,2917.92,2919.54,2917.92,2919.06,528,7,0
2025-02-13 14:35:00,2919.06,2921.09,2918.73,2921.03,636,7,0
2025-02-13 14:40:00,2921.06,2921.42,2919.3,2919.75,777,7,0
2025-02-13 14:45:00,2919.75,2920.17,2918.66,2918.88,803,7,0
2025-02-13 14:50:00,2918.88,2919.21,2917.79,2918.04,563,7,0
2025-02-13 14:55:00,2918.04,2918.77,2917.22,2917.74,1007,7,0
2025-02-13 15:00:00,2917.74,2917.99,2913.0,2914.15,1946,7,0
2025-02-13 15:05:00,2914.15,2916.75,2913.49,2915.76,1232,7,0
2025-02-13 15:10:00,2915.76,2916.8,2914.68,2915.45,941,7,0
2025-02-13 15:15:00,2915.45,2916.7,2914.29,2915.76,840,7,0
2025-02-13 15:20:00,2915.8,2916.02,2911.76,2912.99,1625,7,0
2025-02-13 15:25:00,2912.99,2913.58,2911.06,2911.49,1073,7,0
2025-02-13 15:30:00,2911.48,2917.71,2908.44,2915.07,2516,7,0
2025-02-13 15:35:00,2915.07,2915.07,2911.4,2912.54,2127,7,0
2025-02-13 15:40:00,2912.54,2914.2,2910.61,2912.79,1568,7,0
2025-02-13 15:45:00,2912.77,2913.2,2909.1,2910.94,1728,7,0
2025-02-13 15:50:00,2910.94,2911.41,2905.98,2908.98,1516,7,0
2025-02-13 15:55:00,2908.98,2910.42,2907.53,2908.44,1321,7,0
2025-02-13 16:00:00,2908.42,2910.4,2906.6,2909.89,1864,7,0
2025-02-13 16:05:00,2909.91,2910.6,2908.97,2910.22,1185,7,0
2025-02-13 16:10:00,2910.21,2913.02,2910.12,2911.74,1460,7,0
2025-02-13 16:15:00,2911.74,2913.57,2911.19,2912.37,1789,7,0
2025-02-13 16:20:00,2912.34,2913.54,2911.8,2912.38,1469,7,0
2025-02-13 16:25:00,2912.38,2912.38,2909.07,2909.37,1344,7,0
2025-02-13 16:30:00,2909.37,2911.79,2907.89,2910.06,1745,7,0
2025-02-13 16:35:00,2910.06,2914.74,2910.06,2914.3,1447,7,0
2025-02-13 16:40:00,2914.3,2916.39,2913.33,2914.38,1430,7,0
2025-02-13 16:45:00,2914.38,2916.55,2913.33,2916.55,1313,7,0
2025-02-13 16:50:00,2916.5,2917.42,2915.63,2916.24,1092,7,0
2025-02-13 16:55:00,2916.24,2916.49,2913.94,2915.16,1023,7,0
2025-02-13 17:00:00,2915.17,2918.51,2914.61,2917.09,1765,7,0
2025-02-13 17:05:00,2917.09,2919.05,2917.09,2918.27,1139,7,0
